Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
522,Marissa Sheva,"FW,DF",ie Rep. of Ireland,26,1997,1.1,0,0,0,2,0,0,6,1,4,0,1,0,14,0,3,0.0,Matches
523,Risa Shimizu,"MF,DF",jp Japan,26,1996,4.6,0,0,0,0,1,2,13,4,1,0,0,0,21,2,4,33.3,Matches
524,Wendy Shongwe,FW,za South Africa,20,2003,0.7,0,0,0,1,0,0,2,0,1,0,0,0,4,2,2,50.0,Matches
525,Wang Shuang,"FW,MF",cn China PR,28,1995,1.8,0,0,0,2,1,1,4,1,0,0,0,0,10,1,2,33.3,Matches
526,Diana Silva,FW,pt Portugal,28,1995,1.9,0,0,0,2,2,0,2,0,2,0,0,0,4,1,5,16.7,Matches
527,Dolores Silva,MF,pt Portugal,31,1991,1.7,0,0,0,0,3,0,2,0,3,0,0,0,12,3,4,42.9,Matches
528,Jéssica Silva,FW,pt Portugal,28,1994,2.8,1,0,0,2,2,1,8,0,3,0,0,0,6,3,9,25.0,Matches
529,Kameron Simmonds,"FW,MF",jm Jamaica,19,2003,0.2,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,100.0,Matches
530,Christine Sinclair,"FW,MF",ca Canada,40,1983,1.8,0,0,0,1,3,0,1,0,2,1,0,0,11,3,7,30.0,Matches
531,Olivia Smith,MF,ca Canada,18,2004,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,50.0,Matches
532,Sophia Smith,FW,us USA,22,2000,4.0,1,0,0,5,6,0,16,0,4,0,0,0,28,2,2,50.0,Matches
533,Emma Snerle,FW,dk Denmark,22,2001,0.1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,50.0,Matches
534,Katja Snoeijs,FW,nl Netherlands,26,1996,2.2,0,0,0,6,0,0,0,0,2,0,0,0,10,4,8,33.3,Matches
535,Cho So-hyun,MF,kr Korea Republic,34,1988,2.7,0,0,0,3,3,0,3,8,3,0,0,0,27,9,8,52.9,Matches
536,Ji So-yun,MF,kr Korea Republic,32,1991,3.0,0,0,0,4,11,0,11,2,10,0,0,0,30,5,7,41.7,Matches
537,Havana Solaun,FW,jm Jamaica,30,1993,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
538,Daniela Solera,GK,cr Costa Rica,25,1997,3.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,50.0,Matches
539,Emily Sonnett,MF,us USA,29,1993,1.4,0,0,0,4,2,0,0,1,0,0,0,0,15,1,1,50.0,Matches
540,Coumba Sow,MF,ch Switzerland,28,1994,3.5,0,0,0,9,3,3,1,2,5,1,0,0,23,13,8,61.9,Matches
