Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
491,Kevin Mier,co COL,GK,co Nacional,22,2000,4.0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,Matches
492,Leonardo Mifflin,pe PER,DF,pe Melgar,23,2000,1.0,0,0,0,0,1,0,0,0,1,0,0,0,10,1,0,100.0,Matches
493,Carlos Miguel,br BRA,GK,br Corinthians,24,1998,2.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
494,Pablo Míguez,uy URU,DF,pe Alianza Lima,35,1987,2.0,2,0,0,2,0,0,0,1,3,0,1,0,3,0,2,0.0,Matches
495,Angelo Mina,ec ECU,MF,ec SD Aucas,23,1999,0.3,0,0,0,0,2,0,0,1,0,0,0,0,3,0,1,0.0,Matches
496,Alan Minda,ec ECU,DF,ec Independiente,19,2003,0.3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,Matches
497,Pablo Minissale,ar ARG,DF,ar Arg Juniors,22,2001,1.3,1,0,0,1,0,0,1,0,1,0,0,0,6,0,0,,Matches
498,Rodrigo Moledo,br BRA,DF,br Internacional,35,1987,1.4,0,0,0,0,2,0,0,0,2,0,0,0,2,4,2,66.7,Matches
499,Jordy Monroy,am ARM,DF,co Pereira,27,1996,1.5,0,0,0,0,0,0,4,1,1,0,0,0,9,0,2,0.0,Matches
500,Jordy Monroy,am ARM,DF,co Independiente,27,1996,4.0,0,0,0,5,1,0,11,2,7,0,0,0,27,1,4,20.0,Matches
501,Miguel Monsalve,co COL,"MF,FW",co Independiente,18,2004,2.9,0,0,0,0,4,1,8,0,3,0,0,0,11,1,3,25.0,Matches
502,Brian Montenegro,py PAR,"FW,MF",py Olimpia,29,1993,0.7,0,0,0,0,1,0,1,0,0,0,0,0,3,0,2,0.0,Matches
503,Jefferson Montero,ec ECU,MF,ec SD Aucas,33,1989,0.2,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,,Matches
504,Marcos Montiel,uy URU,"DF,MF",uy Nacional,27,1995,1.7,1,0,0,1,3,0,1,3,0,0,0,0,20,4,3,57.1,Matches
505,Santiago Montiel,ar ARG,"DF,MF",ar Arg Juniors,22,2000,6.8,3,2,1,3,13,0,39,9,12,0,0,0,40,2,7,22.2,Matches
506,Carlos Montoya,pe PER,DF,pe Alianza Lima,20,2002,0.7,0,0,0,0,0,0,1,1,1,0,0,0,3,2,2,50.0,Matches
507,Manuel Monzeglio,uy URU,FW,uy Nacional,21,2001,0.3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,,Matches
508,Lucas Morales,uy URU,DF,uy Nacional,23,1999,0.5,0,0,0,0,1,0,0,2,3,0,0,0,1,1,0,100.0,Matches
509,Robert Morales,py PAR,FW,py Cerro Porteño,23,1999,2.2,0,0,0,1,2,2,2,0,1,0,0,0,7,6,5,54.5,Matches
510,Maximiliano Moralez,ar ARG,MF,ar Racing Club,35,1987,1.3,0,1,0,5,2,0,4,0,2,0,0,0,9,0,2,0.0,Matches
511,Aníbal Moreno,ar ARG,MF,ar Racing Club,23,1999,8.2,1,0,0,6,2,0,1,9,9,0,0,0,48,11,8,57.9,Matches
512,Eber Moreno,co COL,"DF,FW",co Pereira,21,2002,5.1,1,0,0,6,6,1,3,1,3,0,1,0,24,2,2,50.0,Matches
513,Neyder Moreno,co COL,"MF,FW",co Nacional,25,1997,1.7,0,0,0,1,3,1,7,2,6,0,0,0,6,1,2,33.3,Matches
514,Víctor Moreno,co COL,DF,co Independiente,28,1994,4.5,2,0,0,5,2,1,0,5,3,0,0,0,23,19,6,76.0,Matches
515,Gabriel Moscardo,br BRA,MF,br Corinthians,17,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
516,Andrés Mosquera Marmolejo,co COL,GK,co Independiente,31,1991,2.0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,50.0,Matches
517,Orlando Mosquera,pa PAN,GK,ve Monagas,28,1994,5.0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,1,50.0,Matches
518,Sergio Mosquera,co COL,DF,co Nacional,28,1994,3.0,1,0,0,6,3,0,0,2,2,0,0,0,12,5,1,83.3,Matches
519,Hugo Moura,br BRA,MF,br Ath Paranaense,25,1998,1.3,0,0,0,0,0,0,0,2,2,0,0,0,10,4,0,100.0,Matches
520,Franco Moyano,ar ARG,MF,ar Arg Juniors,25,1997,7.0,1,0,0,4,7,0,18,9,3,0,0,0,47,4,4,50.0,Matches
521,Facundo Mura,ar ARG,DF,ar Racing Club,23,1999,4.5,1,0,0,4,6,0,6,1,6,0,0,0,26,2,2,50.0,Matches
522,Murillo,br BRA,DF,br Corinthians,20,2002,4.0,1,0,0,9,0,0,0,3,6,0,0,0,26,10,4,71.4,Matches
