Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
784,Vanderlan,br BRA,DF,br Palmeiras,20,2002,2.6,0,0,0,4,1,0,10,3,1,0,0,0,20,2,2,50.0,Matches
785,Alan Varela,ar ARG,MF,ar Boca Juniors,21,2001,7.3,1,0,0,6,4,0,0,11,13,0,0,0,45,9,6,60.0,Matches
786,Guillermo Varela,uy URU,DF,br Flamengo,29,1993,1.1,0,0,0,2,3,0,2,0,0,0,0,0,6,1,2,33.3,Matches
787,Eduardo Vargas,cl CHI,FW,br Atlético Mineiro,33,1989,2.1,0,0,0,1,3,0,1,2,2,0,0,0,12,1,8,11.1,Matches
788,Freddy Vargas,ve VEN,"MF,FW",ve Metropolitanos,23,1999,4.8,2,0,0,5,5,1,19,1,4,0,0,0,20,3,0,100.0,Matches
789,Jefre Vargas,ve VEN,DF,ve Metropolitanos,28,1995,6.0,0,0,0,3,4,0,17,7,3,0,0,0,54,3,4,42.9,Matches
790,Fabio Vázquez,ar ARG,MF,ar Patronato,28,1994,3.8,2,0,0,5,3,0,0,3,4,0,0,0,30,2,2,50.0,Matches
791,Luis Vázquez,ar ARG,FW,ar Boca Juniors,22,2001,1.5,0,0,0,1,0,0,0,0,1,0,0,0,3,6,0,100.0,Matches
792,Edison Vega,ec ECU,MF,ec SD Aucas,32,1990,4.7,2,0,0,2,9,0,1,6,3,0,0,0,30,3,2,60.0,Matches
793,Raphael Veiga,br BRA,MF,br Palmeiras,27,1995,9.2,2,0,0,16,19,0,61,6,9,0,0,0,45,1,10,9.1,Matches
794,Yílmar Velásquez,co COL,MF,co Pereira,23,1999,5.5,0,0,0,15,3,0,0,4,13,0,0,0,43,6,7,46.2,Matches
795,Fausto Vera,ar ARG,MF,br Corinthians,22,2000,5.7,2,0,0,8,6,0,6,3,4,0,0,0,44,3,8,27.3,Matches
796,Matías Vera,ar ARG,FW,ar Arg Juniors,27,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
797,Gastón Verón,ar ARG,"FW,MF",ar Arg Juniors,21,2001,4.5,0,0,0,8,8,2,2,2,6,0,0,0,22,9,18,33.3,Matches
798,Arturo Vidal,cl CHI,MF,br Ath Paranaense,35,1987,2.1,0,0,0,5,2,0,9,4,1,0,0,0,13,3,5,37.5,Matches
799,Arturo Vidal,cl CHI,MF,br Flamengo,35,1987,2.9,2,0,0,5,3,0,1,2,4,0,0,0,18,3,3,50.0,Matches
800,Felipe Vieira,,FW,br Fluminense,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
801,Diego Viera,py PAR,DF,py Libertad,31,1991,6.0,0,0,0,1,1,0,4,5,8,0,0,0,36,14,4,77.8,Matches
802,Wilder Viera,py PAR,MF,py Cerro Porteño,20,2002,2.4,2,0,0,4,1,0,1,2,8,0,0,0,17,1,2,33.3,Matches
803,Andrés Vilches,cl CHI,"FW,DF",cl Ñublense,31,1992,2.7,0,0,0,5,3,1,0,2,3,0,0,0,6,6,11,35.3,Matches
804,Yordi Vílchez,pe PER,DF,pe Alianza Lima,27,1995,2.5,0,0,0,6,1,0,8,5,5,0,0,0,18,4,5,44.4,Matches
805,Alexis Villa,ec ECU,GK,ec Independiente,21,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
806,Sebastián Villa,co COL,"FW,MF",ar Boca Juniors,26,1996,4.0,0,0,0,2,16,1,37,2,4,0,0,0,26,1,4,20.0,Matches
807,Héctor Villalba,py PAR,"FW,MF",py Libertad,28,1994,5.4,0,0,0,6,3,2,52,4,1,0,0,0,29,3,8,27.3,Matches
808,Lucas Villalba,ar ARG,DF,ar Arg Juniors,28,1994,6.0,7,1,1,8,3,0,10,12,3,0,1,0,21,8,4,66.7,Matches
809,Gabriel Villamíl,bo BOL,"MF,DF",bo Bolívar,21,2001,10.2,5,0,0,16,3,0,11,8,14,0,0,0,55,5,10,33.3,Matches
810,Moisés Villarroel Angulo,bo BOL,MF,bo Bolívar,24,1998,0.3,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,,Matches
811,Miguel Villarroel,bo BOL,"MF,DF",bo Bolívar,20,2003,0.7,0,0,0,0,4,0,10,0,1,0,0,0,5,0,0,,Matches
812,Vitão,br BRA,DF,br Internacional,22,2000,10.3,2,0,0,4,3,0,2,13,7,0,0,0,32,21,16,56.8,Matches
813,Guillermo Vizcarra,bo BOL,GK,bo The Strongest,29,1993,6.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0.0,Matches
814,Wanderson,br BRA,"FW,MF",br Internacional,28,1994,9.9,2,0,0,10,11,2,31,4,10,0,0,0,50,9,4,69.2,Matches
815,Marcelo Weigandt,ar ARG,DF,ar Boca Juniors,23,2000,5.7,1,0,0,2,7,1,11,7,10,0,0,0,43,9,7,56.3,Matches
816,Wesley,br BRA,DF,br Flamengo,19,2003,5.5,4,1,1,10,7,0,9,4,6,0,0,0,33,8,7,53.3,Matches
817,Wesley,br BRA,MF,br Corinthians,17,2005,0.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,50.0,Matches
818,Wéverton,br BRA,GK,br Palmeiras,35,1987,11.3,0,0,0,0,6,0,0,0,0,0,0,0,11,6,0,100.0,Matches
819,Érick Wiemberg,cl CHI,DF,cl Colo-Colo,28,1994,1.5,1,0,0,3,0,0,1,2,1,0,0,0,4,5,4,55.6,Matches
820,Willian,br BRA,FW,br Ath Paranaense,36,1986,0.3,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,,Matches
821,Samuel Xavier,br BRA,DF,br Fluminense,32,1990,10.3,4,1,1,7,7,1,16,5,7,0,0,0,39,3,8,27.3,Matches
822,Yoshimar Yotún,pe PER,"MF,FW",pe Sporting Cristal,32,1990,5.0,1,1,0,5,19,0,20,4,8,0,0,0,35,8,2,80.0,Matches
823,Diego Zabala,uy URU,MF,uy Nacional,31,1991,7.5,2,0,0,6,4,0,51,3,5,0,0,0,45,5,15,25.0,Matches
824,Facundo Zabala,ar ARG,DF,py Olimpia,24,1999,9.0,2,0,0,6,4,0,20,11,10,0,0,0,55,8,5,61.5,Matches
825,Nicolás Zalazar,ar ARG,DF,cl Ñublense,26,1997,3.9,3,1,1,5,2,0,3,10,4,0,1,0,19,5,3,62.5,Matches
826,Carlos Zambrano,pe PER,DF,pe Alianza Lima,33,1989,5.0,2,0,0,4,7,0,0,7,5,0,0,0,23,8,8,50.0,Matches
827,Franco Zanelatto,pe PER,"FW,MF",pe Alianza Lima,22,2000,1.7,0,0,0,2,6,1,5,0,1,0,0,0,3,1,2,33.3,Matches
828,Cristián Zapata,co COL,DF,co Nacional,36,1986,5.8,3,0,0,8,4,0,0,4,1,0,0,0,26,17,11,60.7,Matches
829,Federico Zaracho,ar ARG,MF,br Atlético Mineiro,24,1998,5.8,0,0,0,7,8,2,2,5,7,0,0,0,33,5,14,26.3,Matches
830,Exequiel Zeballos,ar ARG,"FW,DF",ar Boca Juniors,20,2002,1.6,1,0,0,0,2,0,14,2,0,0,0,0,12,0,0,,Matches
831,Matías Zunino,uy URU,MF,uy Liverpool,32,1990,0.2,2,0,0,4,0,0,0,1,0,0,0,0,0,1,2,33.3,Matches
